,Pathname,Genre
0,2.png,Hip-Hop
1,3.png,Hip-Hop
2,5.png,Hip-Hop
3,10.png,Pop
4,134.png,Hip-Hop
5,136.png,Rock
6,139.png,Folk
7,140.png,Folk
8,141.png,Folk
10,181.png,Rock
11,182.png,Rock
12,190.png,Folk
13,193.png,Folk
14,194.png,Folk
15,197.png,Folk
16,198.png,Folk
17,200.png,Folk
18,203.png,Folk
19,204.png,Folk
20,207.png,Folk
21,208.png,Folk
22,209.png,Folk
23,210.png,Folk
24,211.png,Folk
25,212.png,Folk
26,213.png,Pop
27,237.png,Jazz
28,247.png,Rock
29,249.png,Rock
30,255.png,Rock
31,256.png,Rock
32,257.png,Rock
33,258.png,Rock
34,341.png,Rock
35,343.png,Rock
36,352.png,Rock
37,368.png,Rock
38,369.png,Rock
39,397.png,Electronic
40,398.png,Electronic
41,399.png,Electronic
42,400.png,Electronic
43,405.png,Electronic
44,414.png,Electronic
45,424.png,Experimental
46,425.png,Experimental
49,512.png,Rock
50,534.png,Folk
51,535.png,Folk
52,536.png,Folk
53,537.png,Folk
54,540.png,Folk
55,546.png,Folk
56,550.png,Electronic
57,564.png,Rock
58,573.png,Rock
59,574.png,Rock
63,590.png,Jazz
64,591.png,Jazz
65,592.png,Jazz
66,593.png,Jazz
69,605.png,Rock
70,608.png,Rock
71,615.png,Experimental
72,619.png,Folk
73,620.png,Folk
74,621.png,Folk
75,625.png,Folk
76,629.png,Folk
77,631.png,Folk
78,633.png,Rock
79,635.png,Rock
80,664.png,Electronic
81,665.png,Electronic
82,666.png,International
83,667.png,International
84,668.png,Hip-Hop
85,669.png,Hip-Hop
86,672.png,Hip-Hop
87,673.png,Hip-Hop
88,674.png,Hip-Hop
89,676.png,Hip-Hop
90,677.png,Hip-Hop
91,679.png,Hip-Hop
92,680.png,Hip-Hop
93,681.png,Hip-Hop
94,684.png,Hip-Hop
95,686.png,Hip-Hop
97,694.png,Hip-Hop
98,695.png,Hip-Hop
99,696.png,Rock
100,698.png,Rock
101,701.png,Rock
102,702.png,Rock
103,703.png,Rock
104,704.png,International
105,705.png,International
106,706.png,International
107,707.png,International
108,708.png,International
109,709.png,International
110,714.png,Folk
111,715.png,Folk
112,716.png,Folk
113,717.png,Folk
114,718.png,Folk
115,720.png,Rock
116,734.png,Soul-RnB
117,735.png,Soul-RnB
